Key,en,tr,reviewed
Eye Iris Dark >>,Eye Iris Dark >>,Göz İris Koyu >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Göz İris Koyu <<,False
Eye Dollar,Eye Dollar,Göz Doları,False
Eye Heart,Eye Heart,Göz Kalp,False
Eye Highlight,Eye Highlight,Göz Vurgulama,False
Eyelashes,Eyelashes,Kirpikler,False
Eye Iris Light >>,Eye Iris Light >>,Göz İris Işığı >>,False
Eye Iris Light <<,Eye Iris Light <<,Göz İris Işığı <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Göz (Dum) Anahat,False
Eye Sparkling,Eye Sparkling,Göz Parıltılı,False
Eye Spiral,Eye Spiral,Göz Spiral,False
Eye White,Eye White,Göz Beyazı,False
Face Shadow,Face Shadow,Yüz Gölgesi,False
Fin >>,Fin >>,Fin >>,False
Fin >> Outline,Fin >> Outline,Fin >> Anahat,False
Fin <<,Fin <<,Fin <<,False
Fin << Outline,Fin << Outline,Fin << Anahat,False
Hair Framing >>,Hair Framing >>,Saç Çerçeveleme >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Saç Çerçeveleme >> Anahat,False
Hair Framing <<,Hair Framing <<,Saç Çerçeveleme <<,False
Hair Framing << Outline,Hair Framing << Outline,Saç Çerçeveleme << Anahat,False
Gill,Gill,Solungaç,False
Gill Outline,Gill Outline,Solungaç Anahattı,False
Glasses,Glasses,Gözlük,False
Hairband A,Hairband A,Saç bandı A,False
Hairband A Outline,Hairband A Outline,Saç bandı bir taslak,False
Hairband B,Hairband B,Saç bandı B,False
Hairband B Outline,Hairband B Outline,Saç Bandı B Anahat,False
Hairband C,Hairband C,Saç bandı C,False
Hairband C Outline,Hairband C Outline,Saç Bandı C Anahat,False
Hairband D,Hairband D,Saç bandı D,False
Hairband D Outline,Hairband D Outline,Saç Bandı D Anahat,False
Hair Bang >>,Hair Bang >>,Saç Patlaması >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Saç Patlaması >> Anahat,False
Hair Bang ><,Hair Bang ><,Saç Patlaması ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Saç Patlaması >< Anahat,False
Hair Bang <<,Hair Bang <<,Saç Patlaması <<,False
Hair Bang << Outline,Hair Bang << Outline,Saç Patlaması << Anahat,False
Hair Clip >>,Hair Clip >>,Saç Tokası >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Saç Tokası >> Anahat,False
Hair Clip <<,Hair Clip <<,Saç tokası <<,False
Hair Clip << Outline,Hair Clip << Outline,Saç Tokası << Anahat,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Saç Vurgulama 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Saç Vurgulama 1 >> Anahat,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Saç Vurgulama 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Saç Vurgulama 2 >> Anahat,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Saç Vurgulama 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Saç Vurgulama 3 >> Anahat,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Saç Vurgulama 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Saç Vurgulama 1 >< Anahat,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Saç Vurgulama 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Saç Vurgulama 2 >< Anahat,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Saç Vurgulama 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Saç Vurgulama 3 >< Anahat,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Saç Vurgulama 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Saç Vurgulama 4 >< Anahat,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Saç Vurgulama 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Saç Vurgulama 5 >< Anahat,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Saç Vurgulama 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Saç Vurgulama 6 >< Anahat,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Saç Vurgulama 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Saç Vurgulama 1 << Anahat,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Saç Vurgulama 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Saç Vurgulama 2 << Anahat,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Saç Vurgulama 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Saç Vurgulama 3 << Anahat,False
Hairline Outline,Hairline Outline,Saç Çizgisi Anahattı,False
Hair Shine,Hair Shine,Saç Parlatıcı,False
Hair Shine Outline,Hair Shine Outline,Saç Parlatıcı Anahat,False
Halo,Halo,Hale,False
Halo Outline,Halo Outline,hale taslağı,False
Hat,Hat,Şapka,False
Hat Outline,Hat Outline,Şapka Taslağı,False
Hat Secondary,Hat Secondary,Şapka İkincil,False
Hat Secondary Outline,Hat Secondary Outline,Şapka İkincil Taslağı,False
Hammer,Hammer,Çekiç,False
Ear Wing >>,Ear Wing >>,Kulak Kanadı >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Kulak Kanadı >> Anahat,False
Ear Wing <<,Ear Wing <<,Kulak Kanadı <<,False
Ear Wing << Outline,Ear Wing << Outline,Kulak Kanadı << Anahat,False
Heart,Heart,Kalp,False
Horn >>,Horn >>,Korna >>,False
Horn >> Outline,Horn >> Outline,Korna >> Anahat,False
Horn <<,Horn <<,Korna <<,False
Horn << Outline,Horn << Outline,Korna << Anahat,False
Horn ><,Horn ><,Korna ><,False
Horn >< Outline,Horn >< Outline,Korna >< Anahat,False
Jail Grill,Jail Grill,Hapishane Izgarası,False
Keyboard,Keyboard,Klavye,False
Kitchen Knife,Kitchen Knife,Mutfak Bıçağı,False
Laptop,Laptop,Dizüstü bilgisayar,False
Laptop Light,Laptop Light,Dizüstü Bilgisayar Işığı,False
Leg >>,Leg >>,Bacak >>,False
Leg <<,Leg <<,Bacak <<,False
Lightstick Handle,Lightstick Handle,Işık Çubuğu Kolu,False
Light Stick >>,Light Stick >>,Işık Çubuğu >>,False
Light Stick <<,Light Stick <<,Işık Çubuğu <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Mecha >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Anahat,False
Mecha Outline,Mecha Outline,Mecha Taslağı,False
Mecha <<,Mecha <<,Mecha <<,False
Mecha << Outline,Mecha << Outline,Mecha << Anahat,False
Mouse,Mouse,Fare,False
Mouth/Tongue,Mouth/Tongue,Ağız/Dil,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ağız/Dil Gölgesi,False
Notepad,Notepad,Not Defteri,False
Outfit Collar,Outfit Collar,Kıyafet Yaka,False
Outfit Collar Outline,Outfit Collar Outline,Kıyafet Yaka Taslağı,False
Outfit Inner,Outfit Inner,Kıyafet İçi,False
Outfit Inner Outline,Outfit Inner Outline,Kıyafet İç Taslağı,False
Outfit Neckwear A,Outfit Neckwear A,Kıyafet Boyunbağı A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Kıyafet Boyunbağı Bir Anahat,False
Outfit Neckwear B,Outfit Neckwear B,Kıyafet Boyunbağı B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Kıyafet Boyunbağı B Anahat,False
Outfit Neckwear C,Outfit Neckwear C,Kıyafet Boyunbağı C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Kıyafet Boyunbağı C Anahat,False
Outfit Outer,Outfit Outer,Kıyafet Dış,False
Outfit Outer Outline,Outfit Outer Outline,Kıyafet Dış Hatları,False
Pencil,Pencil,Kalem,False
Phone,Phone,Telefon,False
Phone Light,Phone Light,Telefon Işığı,False
Hair Pigtail >>,Hair Pigtail >>,Saç Örgüsü >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Saç Örgüsü >> Anahat,False
Hair Pigtail <<,Hair Pigtail <<,Saç Örgüsü <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Saç Örgüsü << Anahat,False
Rose,Rose,Gül,False
Round Sign,Round Sign,Yuvarlak İşaret,False
Round Sign Text,Round Sign Text,Yuvarlak İşaret Metni,False
Hair Side,Hair Side,Saç Tarafı,False
Hair Side Outline,Hair Side Outline,Saç Yan Anahat,False
Skin,Skin,Deri,False
Skin Outline,Skin Outline,Görünüm Anahattı,False
Square Sign,Square Sign,Kare İşaret,False
Square Sign Text,Square Sign Text,Kare İşaret Metni,False
Steering Wheel,Steering Wheel,Direksiyon,False
Gas Bottle,Gas Bottle,Gaz Şişesi,False
Pat Hand,Pat Hand,Pat Eli,False
Sticker Alert,Sticker Alert,Etiket Uyarısı,False
Sticker Alert Effect,Sticker Alert Effect,Çıkartma Uyarı Efekti,False
Sticker Alert Outline,Sticker Alert Outline,Etiket Uyarısı Anahattı,False
Sticker Angry,Sticker Angry,Kızgın Etiket,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Etiket Ünlem İşareti,False
Sticker Ghost,Sticker Ghost,Çıkartma Hayalet,False
Sticker Heart,Sticker Heart,Etiket Kalp,False
Sticker Laugh,Sticker Laugh,Etiket Gülmek,False
Sticker Question Mark,Sticker Question Mark,Etiket Soru İşareti,False
Sticker Sleep,Sticker Sleep,Etiket Uyku,False
Sticker Star,Sticker Star,Çıkartma Yıldızı,False
Sticker Steam,Sticker Steam,Çıkartma Buharı,False
Sticker Surprise,Sticker Surprise,Çıkartma Sürprizi,False
Sticker Sweat,Sticker Sweat,Etiket Ter,False
Sticker Sweat (Large),Sticker Sweat (Large),Etiket Sweat (Büyük),False
Sticker Volume,Sticker Volume,Etiket Hacmi,False
Sticky Note,Sticky Note,Yapışkan Not,False
Sticky Note Text,Sticky Note Text,Yapışkan Not Metni,False
Eye Tear,Eye Tear,Göz Yırtılması,False
Utensil,Utensil,Gereç,False
Outfit Collar String,Outfit Collar String,Kıyafet Yaka İpi,False
Bell,Bell,Zil,False
Confetti 1,Confetti 1,Konfeti 1,False
Confetti 2,Confetti 2,Konfeti 2,False
Confetti 3,Confetti 3,Konfeti 3,False
Microphone,Microphone,Mikrofon,False
Gleam,Gleam,Parıltı,False
Video Camera,Video Camera,Video kamera,False
Point Hand,Point Hand,Nokta Eli,False
Bowl,Bowl,Tas,False
Cake,Cake,Kek,False
Candle Fire,Candle Fire,Mum Ateşi,False
Drawing Tablet,Drawing Tablet,Çizim Tableti,False
Love Letter,Love Letter,Aşk mektubu,False
Popper,Popper,Popper,False
Stylus,Stylus,Kalem,False
Tablet,Tablet,Tablet,False
Musical Note 1,Musical Note 1,Müzik Notası 1,False
Musical Note 2,Musical Note 2,Müzik Notası 2,False
Phone Screen,Phone Screen,Telefon Ekranı,False
Tail,Tail,Kuyruk,False
Tail Outline,Tail Outline,Kuyruk Anahattı,False
Wing >>,Wing >>,Kanat >>,False
Wing >> Outline,Wing >> Outline,Kanat >> Anahat,False
Wing <<,Wing <<,Kanat <<,False
Wing << Outline,Wing << Outline,Kanat << Anahat,False
