GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru
FrameHairLeft,Hair Framing >>,Hair Framing >>,头发 脸颊 >>,頭髮 臉頰 >>,Seitensträhnen >>,Mechón frontal >>,Encadrement des cheveux >>,Hajkeretezés >>,顔まわり髪 >>,헤어 프레이밍 >>,Оформление волос >>
FrameHairLeftOutline,Hair Framing >> Outline,Hair Framing >> Outline,头发 脸颊 >> 轮廓,頭髮 臉頰 >> 輪廓,Seitensträhnen >> Umriss,Mechón frontal >> Contorno,Encadrement des cheveux >> Aperçu,Hajkeretezés >> Vázlat,顔まわり髪 輪郭 >>,헤어 프레이밍 >> 개요,Оформление волос >> Схема
FrameHairRight,Hair Framing <<,Hair Framing <<,头发 脸颊 <<,頭髮 臉頰 <<,Seitensträhnen <<,Mechón frontal <<,Encadrement des cheveux <<,Hajkeretezés <<,顔まわり髪 <<,헤어 프레이밍 <<,Оформление волос <<
FrameHairRightOutline,Hair Framing << Outline,Hair Framing << Outline,头发 脸颊 << 轮廓,頭髮 臉頰 << 輪廓,Seitensträhnen << Umriss,Mechón frontal << Contorno,Encadrement des cheveux << Aperçu,Hajkeretezés << Vázlat,顔まわり髪 輪郭 <<,헤어 프레이밍 << 개요,Оформление волос << Схема
Gill,Gill,Gill,腮,腮,Kieme,Branquia,Gil,Kopoltyú,エラ,아가미,Джилл
GillOutline,Gill Outline,Gill Outline,腮 轮廓,腮 輪廓,Kiemen Umriss,Contorno de la branquia,Aperçu des branchies,Gill vázlat,エラ 輪郭,길 외곽선,Схема Джилла
Glasses,Glasses,Glasses,眼镜,眼鏡,Brille,Anteojos,Lunettes,Szemüveg,メガネ,안경,Очки
HairbandA,Hairband A,Hairband A,发带 A,髮帶 A,Haarband A,Diadema A,Bandeau A,Hajpánt A,ヘアバンドA,헤어밴드A,Лента для волос А
HairbandAOutline,Hairband A Outline,Hairband A Outline,发带 A 轮廓,髮帶 A 輪廓,Haarband A Umriss,Contorno de Diadema A,Bandeau A Contour,Hajpánt Vázlat,ヘアバンドA 輪郭,헤어밴드A 개요,Лента для волос A Outline
HairbandB,Hairband B,Hairband B,发带 B,髮帶 B,Haarband B,Diadema B,Bandeau B,Hajpánt B,ヘアバンドB,헤어밴드B,Лента для волос Б
HairbandBOutline,Hairband B Outline,Hairband B Outline,发带 B 轮廓,髮帶 B 輪廓,Haarband B Umriss,Contorno de Diadema B,Bandeau B Contour,Hajpánt B körvonal,ヘアバンドB 輪郭,헤어밴드B 개요,Лента для волос B. Контур
HairbandC,Hairband C,Hairband C,发带 C,髮帶 C,Haarband C,Diadema C,Bandeau C,Hajpánt C,ヘアバンドC,헤어밴드 C,Повязка для волос С
HairbandCOutline,Hairband C Outline,Hairband C Outline,发带 C 轮廓,髮帶 C 輪廓,Haarband C Umriss,Contorno de Diadema C,Bandeau C Contour,Hajpánt C körvonal,ヘアバンドC 輪郭,헤어밴드C 개요,Лента для волос C. Контур
HairbandD,Hairband D,Hairband D,发带 D,髮帶 D,Haarband D,Diadema D,Bandeau D,Hajpánt D,ヘアバンドD,헤어밴드 D,Ободок для волос D
HairbandDOutline,Hairband D Outline,Hairband D Outline,发带 D 轮廓,髮帶 D 輪廓,Haarband D Umriss,Contorno de Diadema D,Bandeau D Contour,Hajpánt D körvonal,ヘアバンドD 輪郭,헤어밴드D 개요,Повязка для волос D Outline
HairBangLeft,Hair Bang >>,Hair Bang >>,头发 刘海 >>,頭髮 劉海 >>,Pony >>,Flequillo >>,Frange de cheveux >>,Hair Bang >>,前髪 >>,헤어뱅 >>,Челка >>
HairBangLeftOutline,Hair Bang >> Outline,Hair Bang >> Outline,头发 刘海 >> 轮廓,頭髮 劉海 >> 輪廓,Pony >> Umriss,Flequillo >> Contorno,Frange de cheveux >> Aperçu,Hair Bang >> Vázlat,前髪 輪郭 >>,헤어뱅 >> 개요,Челка >> Схема
HairBangMiddle,Hair Bang ><,Hair Bang ><,头发 刘海 ><,頭髮 劉海 ><,Pony ><,Flequillo ><,Frange de cheveux ><,Hair Bang ><,前髪 中央,헤어뱅 ><,Челка для волос ><
HairBangMiddleOutline,Hair Bang >< Outline,Hair Bang >< Outline,头发 刘海 >< 轮廓,頭髮 劉海 >< 輪廓,Pony >< Umriss,Flequillo >< Contorno,Frange de cheveux >< Aperçu,Hair Bang >< Vázlat,前髪 中央 輪郭,헤어뱅 >< 개요,Челка >< Схема
HairBangRight,Hair Bang <<,Hair Bang <<,头发 刘海 <<,頭髮 劉海 <<,Pony <<,Flequillo <<,Frange de cheveux <<,Hair Bang <<,前髪 <<,헤어뱅 <<,Челка для волос <<
HairBangRightOutline,Hair Bang << Outline,Hair Bang << Outline,头发 刘海 << 轮廓,頭髮 劉海 << 輪廓,Pony << Umriss,Flequillo << Contorno,Frange de cheveux << Aperçu,Hair Bang << Vázlat,前髪 輪郭 <<,헤어뱅 << 개요,Челка << Схема
HairClipLeft,Hair Clip >>,Hair Clip >>,发夹 >>,髮夾 >>,Haarspange >>,Pinza para el pelo >>,Pince à cheveux >>,Hajcsipesz >>,ヘアクリップ >>,헤어클립 >>,Заколка для волос >>
HairClipLeftOutline,Hair Clip >> Outline,Hair Clip >> Outline,发夹 >> 轮廓,髮夾 >> 輪廓,Haarspange >> Umriss,Pinza para el cabello >> Contorno,Pince à cheveux >> Aperçu,Hajcsat >> Vázlat,ヘアクリップ 輪郭 >>,헤어핀 >> 개요,Заколка для волос >> Схема
HairClipRight,Hair Clip <<,Hair Clip <<,发夹 <<,髮夾 <<,Haarspange <<,Pinza para el pelo <<,Pince à cheveux <<,Hajcsat <<,ヘアクリップ <<,헤어클립 <<,Заколка для волос <<
HairClipRightOutline,Hair Clip << Outline,Hair Clip << Outline,发夹 << 轮廓,髮夾 << 輪廓,Haarspange << Umriss,Pinza para el cabello << Contorno,Pince à cheveux << Aperçu,Hajcsat << Vázlat,ヘアクリップ 輪郭 <<,헤어클립 << 개요,Заколка для волос << Схема
HairHighlightLeft1,Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >> ,挑染 1 >> ,Haar Highlight 1 >>,Mechas de cabello 1 >>,Mèches de cheveux 1 >>,Hajkiemelés 1 >>,髪ハイライト1 >>,헤어 하이라이트 1 >>,Мелирование волос 1 >>
HairHighlightLeft1Outline,Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,挑染 1 >> 轮廓,挑染 1 >> 輪廓,Haar Highlight 1 >> Umriss,Mechas de cabello 1 >> Contorno,Mèches de cheveux 1 >> Aperçu,Hajkiemelés 1 >> Vázlat,髪ハイライト1 輪郭 >>,헤어 하이라이트 1 >> 개요,Мелирование волос 1 >> Контур
HairHighlightLeft2,Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >> ,挑染 2 >> ,Haar Highlight 2 >>,Mechas de cabello 2 >>,Mèches de cheveux 2 >>,Hajkiemelés 2 >>,髪ハイライト2 >>,헤어 하이라이트 2 >>,Мелирование волос 2 >>
HairHighlightLeft2Outline,Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,挑染 2 >> 轮廓,挑染 2 >> 輪廓,Haar Highlight 2 >> Umriss,Mechas de cabello 2 >> Contorno,Mèches capillaires 2 >> Aperçu,Hajkiemelés 2 >> Vázlat,髪ハイライト2 輪郭 >>,헤어하이라이트2 >> 개요,Мелирование волос 2 >> Контур
HairHighlightLeft3,Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >> ,挑染 3 >> ,Haar Highlight 3 >>,Mechas de cabello 3 >>,Mèches de cheveux 3 >>,Hajkiemelés 3 >>,髪ハイライト3 >>,헤어 하이라이트 3 >>,Мелирование волос 3 >>
HairHighlightLeft3Outline,Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,挑染 3 >> 轮廓,挑染 3 >> 輪廓,Haar Highlight 3 >> Umriss,Mechas de cabello 3 >> Contorno,Mèches capillaires 3 >> Aperçu,Hajkiemelés 3 >> Vázlat,髪ハイライト3 輪郭 >>,헤어하이라이트3 >> 개요,Мелирование волос 3 >> Контур
HairHighlightMiddle1,Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 >< ,挑染 1 >< ,Haar Highlight 1 ><,Mechas de cabello 1 ><,Mèches de cheveux 1 ><,Hajkiemelés 1 ><,髪ハイライト1 中央,헤어하이라이트 1 ><,Мелирование волос 1 ><
HairHighlightMiddle1Outline,Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,挑染 1 >< 轮廓,挑染 1 >< 輪廓,Haar Highlight 1 >< Umriss,Mechas de cabello 1 >< Contorno,Mèches de cheveux 1 >< Aperçu,Hajkiemelés 1 >< Vázlat,髪ハイライト1 中央 輪郭,헤어하이라이트 1 >< 개요,Мелирование волос 1 >< Схема
HairHighlightMiddle2,Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 >< ,挑染 2 >< ,Haar Highlight 2 ><,Mechas de cabello 2 ><,Mèches de cheveux 2 ><,Hajkiemelés 2 ><,髪ハイライト2 中央,헤어하이라이트 2 ><,Мелирование волос 2 ><
HairHighlightMiddle2Outline,Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,挑染 2 >< 轮廓,挑染 2 >< 輪廓,Haar Highlight 2 >< Umriss,Mechas de cabello 2 >< Contorno,Mèches de cheveux 2 >< Aperçu,Hajkiemelés 2 >< Vázlat,髪ハイライト2 中央 輪郭,헤어하이라이트 2 >< 개요,Мелирование волос 2 >< Схема
HairHighlightMiddle3,Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 >< ,挑染 3 >< ,Haar Highlight 3 ><,Destacado del cabello 3 ><,Mèches de cheveux 3 ><,Hajkiemelés 3 ><,髪ハイライト3 中央,헤어하이라이트 3 ><,Мелирование волос 3 ><
HairHighlightMiddle3Outline,Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,挑染 3 >< 轮廓,挑染 3 >< 輪廓,Haar Highlight 3 >< Umriss,Mechas de cabello 3 >< Contorno,Mèches de cheveux 3 >< Aperçu,Hajkiemelés 3 >< Vázlat,髪ハイライト3 中央 輪郭,헤어하이라이트3 >< 개요,Мелирование волос 3 >< Схема
HairHighlightMiddle4,Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 >< ,挑染 4 >< ,Haar Highlight 4 ><,Mechas de cabello 4 ><,Mèches de cheveux 4 ><,Hajkiemelés 4 ><,髪ハイライト4 中央,헤어하이라이트 4 ><,Мелирование волос 4 ><
HairHighlightMiddle4Outline,Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,挑染 4 >< 轮廓,挑染 4 >< 輪廓,Haar Highlight 4 >< Umriss,Mechas de cabello 4 >< Contorno,Mèches de cheveux 4 >< Aperçu,Hajkiemelés 4 >< Vázlat,髪ハイライト4 中央 輪郭,헤어하이라이트 4 >< 개요,Мелирование волос 4 >< Схема
HairHighlightMiddle5,Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 >< ,挑染 5 >< ,Haar Highlight 5 ><,Mechas de cabello 5 ><,Mèches de cheveux 5 ><,Hajkiemelés 5 ><,髪ハイライト5 中央,헤어하이라이트 5 ><,Мелирование волос 5 ><
HairHighlightMiddle5Outline,Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,挑染 5 >< 轮廓,挑染 5 >< 輪廓,Haar Highlight 5 >< Umriss,Mechas de cabello 5 >< Contorno,Mèches de cheveux 5 >< Aperçu,Hajkiemelés 5 >< Vázlat,髪ハイライト5 中央 輪郭,헤어하이라이트 5 >< 개요,Мелирование волос 5 >< Схема
HairHighlightMiddle6,Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 >< ,挑染 6 >< ,Haar Highlight 6 ><,Mechas de cabello 6 ><,Mèches de cheveux 6 ><,Hajkiemelés 6 ><,髪ハイライト6 中央,헤어하이라이트 6 ><,Мелирование волос 6 ><
HairHighlightMiddle6Outline,Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,挑染 6 >< 轮廓,挑染 6 >< 輪廓,Haar Highlight 6 >< Umriss,Mechas de cabello 6 >< Contorno,Mèches de cheveux 6 >< Aperçu,Hajkiemelés 6 >< Vázlat,髪ハイライト6 中央 輪郭,헤어하이라이트 6 >< 개요,Мелирование волос 6 >< Схема
HairHighlightRight1,Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 << ,挑染 1 << ,Haar Highlight 1 <<,Mechas de cabello 1 <<,Mèches de cheveux 1 <<,Hajkiemelés 1 <<,髪ハイライト1 <<,헤어 하이라이트 1 <<,Мелирование волос 1 <<
HairHighlightRight1Outline,Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,挑染 1 << 轮廓,挑染 1 << 輪廓,Haar Highlight 1 << Umriss,Mechas de cabello 1 << Contorno,Mèches de cheveux 1 << Aperçu,Hajkiemelés 1 << Vázlat,髪ハイライト1 輪郭 <<,헤어 하이라이트 1 << 개요,Мелирование волос 1 << Схема
HairHighlightRight2,Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 << ,挑染 2 << ,Haar Highlight 2 <<,Mechas de cabello 2 <<,Mèches de cheveux 2 <<,Hajkiemelés 2 <<,髪ハイライト2 <<,헤어 하이라이트 2 <<,Мелирование волос 2 <<
HairHighlightRight2Outline,Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,挑染 2 << 轮廓,挑染 2 << 輪廓,Haar Highlight 2 << Umriss,Mechas de cabello 2 << Contorno,Mèches de cheveux 2 << Aperçu,Hajkiemelés 2 << Vázlat,髪ハイライト2 輪郭 <<,헤어하이라이트 2 << 개요,Мелирование волос 2 << Схема
HairHighlightRight3,Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 << ,挑染 3 << ,Haar Highlight 3 <<,Mechas de cabello 3 <<,Mèches de cheveux 3 <<,Hajkiemelés 3 <<,髪ハイライト3 <<,헤어 하이라이트 3 <<,Мелирование волос 3 <<
HairHighlightRight3Outline,Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,挑染 3 << 轮廓,挑染 3 << 輪廓,Haar Highlight 3 << Umriss,Mechas de cabello 3 << Contorno,Mèches de cheveux 3 << Aperçu,Hajkiemelés 3 << Vázlat,髪ハイライト3 輪郭 <<,헤어하이라이트3 << 개요,Мелирование волос 3 << Схема
Hairline,Hairline Outline,Hairline Outline,发际线 轮廓,髮際線 輪廓,Haarlinien Umriss,Contorno de la rayita,Contour des cheveux,Hajvonal vázlat,生え際 輪郭,헤어라인 외곽선,Контур линии роста волос
HairShine,Hair Shine,Hair Shine,头发 高光,頭髮 高光,Haarglanz,Brillo del cabello,Brillance des cheveux,Hajfény,髪ツヤ,헤어 샤인,Блеск Волос
HairShineOutline,Hair Shine Outline,Hair Shine Outline,头发 高光 轮廓,頭髮 高光 輪廓,Haarglanz Umriss,Contorno del brillo del cabello,Aperçu de la brillance des cheveux,Hajfény vázlat,髪ツヤ 輪郭,헤어 샤인 개요,Контур блеска волос
Halo,Halo,Halo,光环,光環,Heiligenschein,Halo,Halo,Halo,天使の輪,후광,Гало
HaloOutline,Halo Outline,Halo Outline,光环 轮廓,光環 輪廓,Heiligenschein Umriss,Contorno del halo,Aperçu du halo,Halo Outline,天使の輪 輪郭,헤일로 개요,Гало Контур
Hat,Hat,Hat,帽子,帽子,Hut,Sombrero,Chapeau,Kalap,帽子,모자,Шляпа
HatOutline,Hat Outline,Hat Outline,帽子 轮廓,帽子 輪廓,Hut Umriss,Contorno del sombrero,Aperçu du chapeau,Kalap vázlat,帽子 輪郭,모자 개요,Контур шляпы
HatSecondary,Hat Secondary,Hat Secondary,帽子 次要,帽子 次要,Hut Sekundär,Sombrero Secundario,Chapeau Secondaire,Kalap másodlagos,帽子パーツ,모자 보조,Шляпа вторичная
HatOutlineSecondary,Hat Secondary Outline,Hat Secondary Outline,帽子 次要 轮廓,帽子 次要 輪廓,Hut Sekundär Umriss,Contorno del sombrero secundario,Contour secondaire du chapeau,Kalap másodlagos vázlat,帽子パーツ 輪郭,모자 보조 개요,Вторичный контур шляпы
Hammer,Hammer,Hammer,锤子,錘子,Hammer,Martillo,Marteau,Kalapács,ハンマー,망치,Молоток
HeadWingLeft,Ear Wing >>,Ear Wing >>,翅膀耳朵 >>,翅膀耳朵 >>,Ohrflügel >>,Ala de oreja >>,Aile d'oreille >>,Fülszárny >>,耳羽 >>,귀 날개 >>,Ухо Крыло >>
