Key,en,pt-br,reviewed
Video Camera,Video Camera,Câmera de Vídeo,False
Point Hand,Point Hand,Mão Apontando,False
Bowl,Bowl,Tigela,False
Cake,Cake,Bolo,False
Candle Fire,Candle Fire,Fogo da Vela,False
Drawing Tablet,Drawing Tablet,Tablete de Desenho,False
Love Letter,Love Letter,Carta de Amor,False
Popper,Popper,Popper,False
Stylus,Stylus,Caneta,False
Tablet,Tablet,Tablet,False
Musical Note 1,Musical Note 1,Nota Musical 1,False
Musical Note 2,Musical Note 2,Nota Musical 2,False
Phone Screen,Phone Screen,Tela do Celular,False
Tail,Tail,Rabo,False
Tail Outline,Tail Outline,Contorno do Rabo,False
Wing >>,Wing >>,Asa >>,False
Wing >> Outline,Wing >> Outline,Asa >> Contorno,False
Wing <<,Wing <<,Asa <<,False
Wing << Outline,Wing << Outline,Asa << Contorno,False
